Name,Rating,Reviews,Type,Employe,Sector,Old
Naaptol Online Shopping,3.8,252,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Metric Stream Infotech,3.4,252,Banking,50k-1 Lakh Employees,Public,31 years old
MN Dastur & Company,3.7,252,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Sterling Oil Exploration & Energy Production,3.7,252,BPO,50k-1 Lakh Employees,Public,41 years old
Louis Philippe,4.3,251,Telecom,50k-1 Lakh Employees,Public,17 years old
Halonix Technologies,4.2,251,Internet,1 Lakh+ Employees,Public,30 years old
GRT Jewellers,4.3,251,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
TRL Krosaki Refractories,3.9,251,Retail,1 Lakh+ Employees,NaN,NaN
Core Integra Consulting Services,3.7,250,NBFC,1 Lakh+ Employees,NaN,NaN
Nyati Group,4.2,254,Engineering & Construction,10k-50k Employees,Public,86 years old
Common Service Centres,4.3,254,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Welspun Enterprises,4.2,253,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Diverse Lynx,3.9,253,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Servion Global Solutions,3.7,252,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
The Dow Chemical Company,4.3,252,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Richfeel Health & Beauty,2.7,251,Banking,1 Lakh+ Employees,Public,30 years old
ACB (India),3.7,251,Banking,1 Lakh+ Employees,Public,30 years old
AIG Hospital,4.3,251,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Global Aluminium,3.9,250,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Cipla Health,4.3,250,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Ajio Business,3.7,250,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
National Petroleum Construction Company,4.2,249,Banking,50k-1 Lakh Employees,Public,31 years old
IKF Finance,3.9,254,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Zydex Industries,4.1,252,BPO,50k-1 Lakh Employees,Public,41 years old
Halliburton,3.5,251,Telecom,50k-1 Lakh Employees,Public,17 years old
Shakti Pumps,3.8,251,Internet,1 Lakh+ Employees,Public,30 years old
Reliance Home Finance,4.5,251,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Nilons Enterprises,4.0,250,Retail,1 Lakh+ Employees,NaN,NaN
IMSI,3.2,250,NBFC,1 Lakh+ Employees,NaN,NaN
Arena Animation,3.8,249,Engineering & Construction,10k-50k Employees,Public,86 years old
Arena Animation,3.8,249,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Hollister Medical,4.2,252,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Hexagon Capability Center,4.0,251,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Infodrive,4.4,251,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Tata ClassEdge,3.5,250,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Sri Sri Tattva,3.7,250,Banking,1 Lakh+ Employees,Public,30 years old
